Experiment ID                :  dynamiclandscapes
Problem Type                 :  DL1
Data Input File Name         :  NA
Number of Runs               :  10
Generations per Run          :  200
Population Size              :  100
Selection Method             :  2
Fitness Scaling Type         :  1
Min or Max Fitness           :  min
Crossover Type               :  1
Crossover Rate               :  0.8
Mutation Type                :  1
Mutation Rate                :  0.005
Random Number Seed           :  75982
Number of Genes/Points       :  1
Size of Genes                :  32


 R   3 G  31#######     18.887     25.571
 R   3 G  32#######     16.863     23.054
 R   3 G  33#######     23.396     28.895
 R   3 G  34#######     23.247     27.446
 R   3 G  35#######     22.479     25.915
 R   3 G  36#######     24.301     24.217
 R   3 G  37#######     24.691     24.864
 R   3 G  38#######     28.328     32.449
 R   3 G  39#######     25.174     29.917
 R   3 G  40#######     24.502     22.174
 R   3 G  41#######       25.8      26.05
 R   3 G  42#######     25.038      22.87
 R   3 G  43#######     24.875     21.506
 R   3 G  44#######     28.205     29.765
 R   3 G  45#######     28.331     25.813
 R   3 G  46#######     27.182     24.594
 R   3 G  47#######     29.164     30.541
 R   3 G  48#######     30.753     34.535
 R   3 G  49#######     34.113     31.035
 R   3 G  50#######      30.22     26.981
 R   3 G  51#######     30.973     28.746
 R   3 G  52#######     27.651     29.272
 R   3 G  53#######      30.42     29.246
 R   3 G  54#######     29.747     27.409
 R   3 G  55#######     26.973      23.08
 R   3 G  56#######      25.09     20.972
 R   3 G  57#######      23.17     23.104
 R   3 G  58#######     22.877     26.975
 R   3 G  59#######     27.058      21.95
 R   3 G  60#######     28.399      28.98
 R   3 G  61#######     26.503     20.682
 R   3 G  62#######     27.469     18.987
 R   3 G  63#######     25.839     21.125
 R   3 G  64#######     23.266     18.371
 R   3 G  65#######      20.27     16.343
 R   3 G  66#######     22.589     17.758
 R   3 G  67#######     21.788     18.217
 R   3 G  68#######     22.148     19.943
 R   3 G  69#######     20.088     16.968
 R   3 G  70#######     22.302     17.693
 R   3 G  71#######     23.218     19.611
 R   3 G  72#######     20.949     16.751
 R   3 G  73#######     16.941     14.678
 R   3 G  74#######     16.965     14.436
 R   3 G  75#######     16.588     13.883
 R   3 G  76#######     14.899     15.873
 R   3 G  77#######     11.888     11.476
 R   3 G  78#######      12.33     12.179
 R   3 G  79#######     13.239     12.575
 R   3 G  80#######     11.621     11.511
 R   3 G  81#######     11.384     11.603
 R   3 G  82#######     11.416      11.38
 R   3 G  83#######      9.626     10.221
 R   3 G  84#######      8.521      8.471
 R   3 G  85#######     10.701      9.947
 R   3 G  86#######     11.938     10.026
 R   3 G  87#######     13.477       11.8
 R   3 G  88#######     11.505     10.372
 R   3 G  89#######     13.932     11.595
 R   3 G  90#######     12.775     11.627
 R   3 G  91#######     17.534     15.979
 R   3 G  92#######     18.738     14.484
 R   3 G  93#######     17.908     14.031
 R   3 G  94#######     17.908     13.514
 R   3 G  95#######     20.617     16.205
 R   3 G  96#######     18.669     14.351
 R   3 G  97#######     17.866     19.067
 R   3 G  98#######     17.228     12.646
 R   3 G  99#######     19.107     13.577
 R   3 G 100#######     19.711     12.697
 R   3 G 101#######     22.897     18.331
 R   3 G 102#######     23.396     20.004
 R   3 G 103#######     23.696     15.603
